302658.8160728428	4124493.1439842242	28.3455405713
302658.9389390569	4124492.6593164275	28.3445305278
302659.0618052710	4124492.1746486304	28.3435204842
302659.1846714850	4124491.6899808338	28.3425104407
302659.2839119697	4124491.1999296350	28.3435821657
302659.3831524545	4124490.7098784358	28.3446538906
302659.4823929392	4124490.2198272371	28.3457256156
302659.5816334240	4124489.7297760379	28.3467973406
302659.6635863539	4124489.2365688919	28.3523135480
302659.7455392838	4124488.7433617464	28.3578297554
302659.8274922137	4124488.2501546005	28.3633459628
302659.8813755505	4124487.7530665859	28.3630430719
302659.9352588874	4124487.2559785713	28.3627401811
302659.9891422242	4124486.7588905566	28.3624372902
302660.0286670605	4124486.2604800090	28.3574660424
302660.0681918969	4124485.7620694614	28.3524947947
302660.1077167332	4124485.2636589138	28.3475235470
302660.1472415696	4124484.7652483662	28.3425522992
302660.1824811183	4124484.2664969699	28.3402677883
302660.2177206670	4124483.7677455735	28.3379832773
302660.2529602157	4124483.2689941772	28.3356987663
302660.2881997644	4124482.7702427809	28.3334142554
302660.3138464956	4124482.2709034188	28.3318502172
302660.3394932268	4124481.7715640562	28.3302861791
302660.3651399580	4124481.2722246936	28.3287221410
302660.3907866892	4124480.7728853310	28.3271581029
302660.4164334204	4124480.2735459683	28.3255940648
302660.4382396442	4124479.7740225685	28.3246660531
302660.4600458679	4124479.2744991682	28.3237380413
302660.4818520916	4124478.7749757678	28.3228100296
302660.5036583153	4124478.2754523675	28.3218820179
302660.5254645391	4124477.7759289672	28.3209540062
302660.5413948101	4124477.2761830781	28.3204319746
302660.5573250811	4124476.7764371885	28.3199099429
302660.5732553520	4124476.2766912989	28.3193879113
302660.5891856230	4124475.7769454098	28.3188658796
302660.6051158941	4124475.2771995203	28.3183438480
302660.6141274574	4124474.7772807730	28.3181496122
302660.6231390208	4124474.2773620258	28.3179553763
302660.6321505842	4124473.7774432781	28.3177611405
302660.6411621476	4124473.2775245309	28.3175669047
302660.6501737110	4124472.7776057832	28.3173726689
302660.6591852744	4124472.2776870360	28.3171784331
302660.6657692073	4124471.7777351937	28.3149859344
302660.6723531401	4124471.2777833510	28.3127934356
302660.6789370729	4124470.7778315088	28.3106009369
302660.6855210058	4124470.2778796661	28.3084084382
302660.6921049386	4124469.7779278238	28.3062159395
302660.6986888715	4124469.2779759811	28.3040234408
302660.7007118464	4124468.7779801209	28.3038066856
302660.7027348212	4124468.2779842601	28.3035899304
302660.7047577960	4124467.7779883994	28.3033731752
302660.7067807709	4124467.2779925391	28.3031564200
302660.7088037457	4124466.7779966784	28.3029396647
302660.7108267205	4124466.2780008176	28.3027229095
302660.7161395054	4124465.7780322647	28.3009283856
302660.7214522903	4124465.2780637117	28.2991338616
302660.7267650752	4124464.7780951587	28.2973393376
302660.7320778601	4124464.2781266058	28.2955448136
302660.7373906450	4124463.7781580528	28.2937502897
302660.7427034299	4124463.2781894999	28.2919557657
